rank,ticker,company_name,issuecapitalization_rub,listlevel,e_disclosure_company_id,e_disclosure_company_url,e_disclosure_files_type_4_url,e_disclosure_files_type_3_url,e_disclosure_files_type_2_url,e_disclosure_search_url,e_disclosure_search_terms,link_status,source_board,source_universe,captured_on
58,MDMG,МКПАО «МД Медикал Груп»,95138312664.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MDMG | МКПАО «МД Медикал Груп»,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
59,RAGR,Группа Русагро,94053335760.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,RAGR | Группа Русагро,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
60,RGSS,Росгосстрах СК ПАО ао,91928802543.84,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,RGSS | Росгосстрах СК ПАО ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
61,NKNC,"""Нижнекамскнефтехим"" ПАО ао",91841592000.0,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"NKNC | ""Нижнекамскнефтехим"" ПАО ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
62,MSRS,ПАО Россети Моск.рег. ао,84506803880.89,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,MSRS | ПАО Россети Моск.рег. ао,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
63,PRMD,ПРОМОМЕД,80431250000.0,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,PRMD | ПРОМОМЕД,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
64,LEAS,ПАО «ЛК «Европлан»,79548000000.0,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,LEAS | ПАО «ЛК «Европлан»,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
65,TRMK,ПАО ТМК,75071130522.5,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,TRMK | ПАО ТМК,search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
66,UTAR,"Авиакомпания ""ЮТэйр"" (ПАО) ао",73197062694.36,3,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"UTAR | Авиакомпания ""ЮТэйр"" (ПАО) ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
67,UPRO,Юнипро ПАО ао,72726682538.26,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Юнипро"" | Юнипро | UPRO | Юнипро ПАО ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
68,MSNG,МосЭнерго акции обыкн.,72641954851.75,1,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Мосэнерго"" | Мосэнерго | MSNG | МосЭнерго акции обыкн.",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
69,RASP,ПАО Распадская ао,72498423670.2,2,,,,,,https://www.e-disclosure.ru/poisk-po-kompaniyam,"ПАО ""Распадская"" | Распадская | RASP | ПАО Распадская ао",search_only,TQBR,top100_by_issuecapitalization_common_shares,2026-06-21
